model,trained_target,decile,n,pred_mean,true_mean,true_std,abs_error_mean,true_q25,true_q75
MLP Embed Shared,raw,4,5747,0.3534247016821693,0.3624313732561411,0.17946827078392644,0.14501665674934558,0.229796395254717,0.4853418229367956
MLP Embed Shared,raw,4,5747,0.35528024426953614,0.3602200724282885,0.1782678486803559,0.14387381606045468,0.22976366683104346,0.48139785244089184
MLP Embed Shared,raw,5,5747,0.3793589687563138,0.3848186522773886,0.17767906973960218,0.14397350233034698,0.25578031244170424,0.5055459251951152
MLP Embed Shared,raw,5,5747,0.3738905771651516,0.3792499333147608,0.1760586214683159,0.14218324623578335,0.25374060115753516,0.4998966905396901
MLP Embed Shared,raw,5,5747,0.37489857561840934,0.3790022058489072,0.17671551450495734,0.14287237841818332,0.25359446499084026,0.5011064215140886
MLP Embed Shared,raw,6,5747,0.39900618321754133,0.3996027725824911,0.177930756191719,0.14282795403928814,0.274299261885781,0.519080905833285
MLP Embed Shared,raw,6,5747,0.3947524531770835,0.396720365832704,0.17620555295915213,0.14195777884081548,0.27077656119595706,0.5167550071033484
MLP Embed Shared,raw,6,5747,0.3945887396444294,0.4021770699067075,0.17574266503179903,0.14196594230805482,0.2776641519989094,0.5233603816889509
MLP Embed Shared,raw,7,5747,0.4195413723217211,0.4177250703954692,0.1776342499366187,0.1433735398136302,0.2957853618884019,0.5380404979826892
MLP Embed Shared,raw,7,5747,0.4172668774915774,0.4132706287433295,0.17920049997385454,0.14478357110070547,0.28630952923033665,0.5377395703243685
MLP Embed Shared,raw,7,5747,0.4146103690152627,0.4148191768559494,0.17620707127912208,0.14169633193457143,0.2923155464406449,0.5345748567256545
MLP Embed Shared,raw,8,5747,0.44240028215259475,0.43983409872790863,0.17491782111226448,0.14119599665617485,0.31863371620876424,0.5623998835252393
MLP Embed Shared,raw,8,5747,0.44305771618319195,0.4424590208580124,0.17573233839193708,0.1416653457786056,0.3201183041364536,0.5646184763447386
MLP Embed Shared,raw,8,5747,0.43705585387886886,0.44146031308839917,0.17736191497635126,0.14354802936436753,0.3173329705802411,0.5647813797530291
MLP Embed Shared,raw,9,5746,0.47036749818496826,0.46981395047556124,0.1784899333093473,0.14489526420111096,0.3449854100033712,0.5946035575013605
MLP Embed Shared,raw,9,5746,0.47405270457765675,0.4732864745782655,0.17556798921552833,0.1409618365691741,0.35548541952253676,0.5935063140671557
MLP Embed Shared,raw,9,5746,0.464045579139671,0.47226914118091307,0.17701855690627652,0.1431285272619917,0.3499262437089802,0.5946926034925033
MLP Embed Shared,raw,10,5746,0.5183192239617206,0.5229989120294003,0.17713800612117486,0.13964108983263887,0.4080552715627368,0.6463983040837462
MLP Embed Shared,raw,10,5746,0.5242793839016402,0.5232688532861693,0.1785340698438429,0.14195522892278484,0.4030623984925198,0.6477144453260808
MLP Embed Shared,raw,10,5746,0.5085032489183179,0.5236103331740408,0.17810453119093525,0.14237994230575698,0.4053600464421103,0.6473527842827909
MLP Embed Shared (quantile->raw),quantile,1,5747,0.28871936097447615,0.26649971171033715,0.17196836679455374,0.13557999148301655,0.13608915892697745,0.3762370719013539
MLP Embed Shared (quantile->raw),quantile,1,5747,0.2869824531187383,0.26853141756193105,0.1729080226245714,0.1353459478676425,0.136845629791006,0.3806553701006581
MLP Embed Shared (quantile->raw),quantile,1,5747,0.28954031912665107,0.2685410619265907,0.17295974110346435,0.13639800586178083,0.13608915892697745,0.3807501926284292
MLP Embed Shared (quantile->raw),quantile,2,5747,0.32629491516856385,0.3179038015831659,0.17245070363580237,0.1405321440061842,0.1887186067540929,0.4359715078260377
MLP Embed Shared (quantile->raw),quantile,2,5747,0.3276888228505143,0.31699294868358446,0.1739955979280888,0.14125450071720486,0.1896794764084748,0.4330244600984309
MLP Embed Shared (quantile->raw),quantile,2,5747,0.3288288762823888,0.3169063305705763,0.17365661788415868,0.14183140460959287,0.18587301623081062,0.43427651305393733
MLP Embed Shared (quantile->raw),quantile,3,5747,0.3445163659940233,0.3372834604165506,0.17766677578689005,0.14386905106123027,0.20321441069282925,0.4544258437243427
MLP Embed Shared (quantile->raw),quantile,3,5747,0.3457999897813117,0.340972861870956,0.17870247626032149,0.14424637734150217,0.20708109039281006,0.4560590937294635
MLP Embed Shared (quantile->raw),quantile,3,5747,0.3464019971744071,0.33786647995345,0.17710877900374056,0.14375930297643746,0.20657077113380667,0.4551984229440541
MLP Embed Shared (quantile->raw),quantile,4,5747,0.3611803984294623,0.3615327258280585,0.1782684188926253,0.1434224981420256,0.23143829227331475,0.48199979852448743
MLP Embed Shared (quantile->raw),quantile,4,5747,0.36201326155045993,0.35767770822082,0.17731023709867857,0.14358890781376943,0.22752571461052767,0.47784327327686715
MLP Embed Shared (quantile->raw),quantile,4,5747,0.3620875838703173,0.3592172978520031,0.17790491811932377,0.1426178701652411,0.22967124797525007,0.47414808606296244
MLP Embed Shared (quantile->raw),quantile,5,5747,0.3764574715360699,0.3777768277029283,0.1785459257817992,0.14396941664522062,0.250991274730184,0.4963876406413582
MLP Embed Shared (quantile->raw),quantile,5,5747,0.3770235328104536,0.37759504737846283,0.17808447441459138,0.14419712605750576,0.2488950662056899,0.498805913531632
MLP Embed Shared (quantile->raw),quantile,5,5747,0.3770552833829628,0.37962771561504066,0.1770358594008721,0.14302624383883797,0.251981549502057,0.49909228371644343
MLP Embed Shared (quantile->raw),quantile,6,5747,0.391048970226639,0.39804973303061253,0.17884474372121237,0.14537582289943252,0.2699490401399539,0.5216135180454089
MLP Embed Shared (quantile->raw),quantile,6,5747,0.3913841097529397,0.3998449780152066,0.1750508223104962,0.14155155417827195,0.2753161773531366,0.519370884541672
MLP Embed Shared (quantile->raw),quantile,6,5747,0.3919812601668887,0.3995740041431169,0.1795658831803363,0.14554257072172194,0.27053436174312884,0.523417702201208
MLP Embed Shared (quantile->raw),quantile,7,5747,0.4061754620417736,0.4201623112313814,0.17458941771024666,0.14098095757194196,0.2991407855045816,0.5392178783693536
MLP Embed Shared (quantile->raw),quantile,7,5747,0.4066477130066832,0.41787038038022883,0.17954279297576464,0.14454232764258917,0.2939015582754905,0.5395241632270258
MLP Embed Shared (quantile->raw),quantile,7,5747,0.4083625846018934,0.418330061314331,0.1779887451677316,0.14412915410777868,0.29321467878087265,0.5395855490584798
MLP Embed Shared (quantile->raw),quantile,8,5747,0.42322803003259535,0.4413320548171539,0.17704470447376355,0.14371846198869673,0.31757967032728235,0.5646184763447386
MLP Embed Shared (quantile->raw),quantile,8,5747,0.4234207359234275,0.4399785376305152,0.17474547569079577,0.1424624343517118,0.3173702221553615,0.5629968403842267
MLP Embed Shared (quantile->raw),quantile,8,5747,0.4262334543508209,0.43925652869098053,0.17345543140517505,0.14027066148331094,0.32047831731741105,0.5590478600442168
MLP Embed Shared (quantile->raw),quantile,9,5746,0.4446221798819653,0.4724655908972143,0.17736884298680014,0.14470061023688954,0.3497512068355198,0.5916280552911254
MLP Embed Shared (quantile->raw),quantile,9,5746,0.444170811598306,0.47248861686354243,0.17641497848687754,0.14433814943182205,0.35300446058507046,0.5910740697276768
MLP Embed Shared (quantile->raw),quantile,9,5746,0.44823686603651147,0.47411840796622284,0.17729235019534603,0.14439914614463412,0.35290002347090965,0.5946035575013605
MLP Embed Shared (quantile->raw),quantile,10,5746,0.4807943066595865,0.5224231770055028,0.17635304222485185,0.14467096883379327,0.4041772182766218,0.6452195240111078
MLP Embed Shared (quantile->raw),quantile,10,5746,0.4774877223894973,0.5234770850082909,0.1776745269635763,0.14694623648788727,0.4032284854874666,0.6483873189514724
MLP Embed Shared (quantile->raw),quantile,10,5746,0.48456197756017977,0.5219917187116956,0.17743320021397213,0.1449329657930481,0.4055154518062263,0.6462842013656389
MLP OneHot,raw,1,5747,0.2511798198070239,0.26582429089921267,0.1727935669880168,0.1318741376854231,0.13608915892697745,0.37824360900692433
MLP OneHot,raw,1,5747,0.26012338823145403,0.26829505983373986,0.173154847414302,0.13200111632405637,0.13608915892697745,0.3810383336924582
MLP OneHot,raw,1,5747,0.260275484653417,0.26608068667544166,0.17288457208973396,0.1327349657401197,0.13608915892697745,0.379751519580101
MLP OneHot,raw,2,5747,0.305792544605588,0.31717671120817104,0.17307362306353347,0.1397590017382477,0.18737346982192155,0.43413441071544
MLP OneHot,raw,2,5747,0.3104545391755082,0.31526572567583866,0.1729859535376251,0.14042595577134556,0.18297199922152627,0.4301324625195946
MLP OneHot,raw,2,5747,0.31412358344254626,0.319123233939068,0.17464426092740856,0.14125838815907849,0.1876508587779555,0.4337709082265311
MLP OneHot,raw,3,5747,0.3291110601221061,0.34009073407468543,0.17650138846041136,0.14246373458132763,0.20979744494555008,0.4558722088876836
MLP OneHot,raw,3,5747,0.3331261635428203,0.33729822497282386,0.17534810940667644,0.14117728826324322,0.20742968415908822,0.4530039385769644
