config_id,support_champion_name,count,mean,median,std
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Rumble,2,0.2851577358924152,0.2851577358924152,0.1657106133847261
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Ryze,1,0.013796172674677365,0.013796172674677365,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Sejuani,6,0.16911055291730184,0.10230751696729926,0.14063508798294913
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Senna,382,0.14766793663743988,0.1125,0.13566516928268121
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Seraphine,184,0.13829670382098289,0.12159253152488464,0.1174254590013382
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Sett,1,0.09100101112234582,0.09100101112234582,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Shaco,35,0.2792373254074306,0.2511143818334735,0.21315591796386857
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Shen,14,0.09780328793354079,0.07944600818833163,0.10819060430460867
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Singed,3,0.5480839336389435,0.49341846758349706,0.20512128565494803
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Sion,1,0.29407028951850134,0.29407028951850134,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Skarner,1,0.5992525570416996,0.5992525570416996,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Smolder,1,0.029426686960933535,0.029426686960933535,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Sona,671,0.14879405981073762,0.11666666666666665,0.13730805880758146
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Soraka,301,0.1522241813109264,0.11893715731758753,0.13403803401307895
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Swain,67,0.13929644618906972,0.1125,0.13302040413720517
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Sylas,60,0.2707381837648093,0.25672304548180414,0.15188287609164824
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Syndra,3,0.10847915994846734,0.11016306408797877,0.09769784354049407
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,TahmKench,62,0.17013274991171976,0.14565233747837622,0.1403449735654356
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Taliyah,18,0.17302503404371256,0.16120318764830588,0.12447424040162823
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Taric,265,0.14052402674373426,0.11383814783347491,0.12329488961454271
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Teemo,4,0.18052397761197556,0.19396026648992093,0.15362129049889822
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Thresh,780,0.19013253691728335,0.15467932515315302,0.15977419404472165
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Tristana,1,0.0,0.0,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Trundle,34,0.16619867292083554,0.11666666666666665,0.13965292228443726
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,TwistedFate,8,0.28857020359480057,0.22964698581490733,0.23527340465130914
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Twitch,4,0.5836738679462343,0.6299766018718502,0.39945391054953766
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Varus,3,0.08215456706098416,0.10008169934640519,0.05104546283712817
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Vayne,1,0.28008550855085507,0.28008550855085507,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Veigar,6,0.2327314255883821,0.20851830444045572,0.1392494079509196
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Velkoz,147,0.14963181267175524,0.1297396071265418,0.14229939291786237
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Xerath,30,0.13539811300144206,0.11458333333333333,0.1252511734593387
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,XinZhao,1,0.13843896713615025,0.13843896713615025,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Yorick,1,0.17217104253032395,0.17217104253032395,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Yuumi,222,0.05757914364265705,0.016477937944881248,0.08382497092174977
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Zaahen,6,0.22325504009580668,0.14103881278538813,0.18816876321739362
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Zac,24,0.18315364842937035,0.122867739157664,0.17775787470579224
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Zed,3,0.09992083223507371,0.07121971595655807,0.11694343168732278
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Zilean,273,0.18065414699693,0.1391666666666667,0.1677107750104661
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Zoe,51,0.198281469543174,0.1831670956670957,0.14726881030463632
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Zyra,51,0.15497924939766033,0.1344061876247505,0.11463635799028653
